Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>"
"Aug 29, 2019, 1:41:16 PM",Afternoon Ride,Ride,,1321,8.03,,true,,0,,1321,1256,8031.2998046875,13.6999998092651,,40.9491081237793,,584.299987792969,704.5,11.3999996185303,-1.14925348758698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 30, 2019, 6:14:13 AM",Morning Ride,Ride,,1875,7.81,,true,,0,,1875,1807,7810,14.3999996185303,,128.563110351563,,584.299987792969,704.400024414062,17,1.28553140163422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 30, 2019, 1:34:35 PM",Afternoon Ride,Ride,,1227,7.71,,true,,0,,1227,1186,7710.10009765625,12.8999996185303,,30.344310760498,,584.299987792969,704.5,11.6999998092651,-1.30089104175568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 2, 2019, 5:39:30 AM",Morning Ride,Ride,,1920,7.9,,true,,0,,1920,1813,7900,13.1999998092651,,135.064437866211,,584.299987792969,704.5,42.0999984741211,1.1936708688736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 2, 2019, 1:59:28 PM",Afternoon Ride,Ride,,1192,7.78,,true,,0,,1192,1147,7785.7998046875,14.6000003814697,,30.2952690124512,,584.299987792969,704.5,10.3999996185303,-1.28567397594452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 3, 2019, 5:43:07 AM",Morning Ride,Ride,,1873,8.07,,true,,0,,1873,1787,8073.2998046875,10.3999996185303,,128.894424438477,,584.400024414063,704.5,18.2999992370605,1.21387779712677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 5, 2019, 5:53:16 AM",Morning Ride,Ride,,2198,8,,true,,0,,2198,1782,8002.5,14.1999998092651,,127.623054504395,,584.299987792969,703,13.3000001907349,1.17713212966919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 5, 2019, 1:57:55 PM",Afternoon Ride,Ride,,1094,7.07,,true,,0,,1094,1087,7077.5,12.5,,17.0833339691162,,584.299987792969,704.5,10.8000001907349,-1.56976330280304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 6, 2019, 5:24:54 AM",Morning Ride,Ride,,1908,8,,true,,0,,1908,1832,8000.60009765625,14.6999998092651,,132.454864501953,,584.400024414063,704.5,32.9000015258789,1.17866158485413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 6, 2019, 2:13:00 PM",Afternoon Ride,Ride,,1223,7.77,,true,,0,,1223,1180,7771.2001953125,13.1000003814697,,30.445671081543,,584.299987792969,704.5,11,-1.28422892093658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 12, 2019, 5:47:35 AM",Morning Ride,Ride,,2526,8.04,,true,,0,,2526,1994,8045,14.1999998092651,,133.196624755859,,584.299987792969,704.5,42.9000015258789,1.19701683521271,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 12, 2019, 4:15:12 PM",Evening Ride,Ride,,1233,7.85,,true,,0,,1233,1198,7855.39990234375,13,,30.5157413482666,,584.299987792969,704.5,10.3999996185303,-1.27682864665985,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 17, 2019, 6:02:53 AM",Morning Ride,Ride,,2368,8.07,,true,,0,,2368,1895,8071.39990234375,13.1999998092651,,129.022354125977,,584.299987792969,704.5,11.1999998092651,1.17575633525848,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 19, 2019, 5:47:15 AM",Morning Ride,Ride,,2090,7.79,,true,,0,,2090,1949,7791.89990234375,13.3999996185303,,128.734329223633,,584.299987792969,704.5,11.6999998092651,1.24488246440887,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 17, 2019, 4:31:08 PM",Evening Ride,Ride,,1556,8.03,,true,,0,,1556,1467,8036.2001953125,12,,49.2150344848633,,584.299987792969,704.5,10.6999998092651,-1.04402577877045,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 19, 2019, 4:39:00 PM",Evening Ride,Ride,,1392,7.88,,true,,0,,1392,1282,7882.89990234375,13.6999998092651,,32.7783393859863,,584.299987792969,704.5,10.1000003814697,-1.23178017139435,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2019, 6:16:44 AM",Morning Ride,Ride,,3041,8.05,,true,,0,,3041,2077,8052.10009765625,9.5,,129.534423828125,,584.299987792969,703.200012207031,12.6999998092651,1.1860259771347,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2019, 5:01:43 PM",Evening Ride,Ride,,1246,7.78,,false,,0,,1246,1246,7787.7001953125,11.6000003814697,,33.636474609375,,584.299987792969,703.200012207031,9.80000019073486,-1.22372460365295,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 24, 2019, 5:45:19 AM",Morning Ride,Ride,,2023,7.77,,true,,0,,2023,1857,7778.2001953125,8.69999980926514,,131.052093505859,,584.299987792969,703.200012207031,41.2999992370605,1.19822061061859,,,,,,,,,,,,,,,,,,6,,,,,0,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 24, 2019, 4:31:51 PM",Evening Ride,Ride,,934,6.44,,false,,0,,934,902,6445.7998046875,12.5,,25.3788757324219,,604.5,703.200012207031,11.1000003814697,-1.26594066619873,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 26, 2019, 5:39:47 AM",Morning Ride,Ride,,2694,7.92,,false,,0,,2694,1984,7923.2001953125,7.40000009536743,,134.584030151367,,584.299987792969,703.200012207031,33.2999992370605,1.18512725830078,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
